ticker,gap_date,gap_pct,open,prev_close,addv20,market_cap,fiscal_period,fiscal_year,eps_diluted,eps_positive,eps_growth_yoy,revenue,revenue_growth_yoy,net_income
SPT,2021-11-03,9.3,133.07,121.69,41470203,349023340.0,Q3,2021,,,,49091000.0,45.8,-6993000.0
BLDR,2021-11-04,11.1,66.97,60.26,98048049,9743200528.0,Q3,2021,2.98,True,308.2,5508590000.0,140.0,613145000.0
GDDY,2021-11-04,18.8,79.87,67.21,74219141,10831021383.0,Q3,2021,,,,964000000.0,14.2,97700000.0
RPD,2021-11-04,10.2,142,128.8,47252097,449391024.0,Q3,2021,-0.67,False,,139894000.0,33.1,-37700000.0
AMN,2021-11-05,10.0,123.67,112.42,60359188,730316450.0,Q3,2021,1.54,True,180.0,877800000.0,59.1,100606000.0
DDOG,2021-11-05,16.1,193.89,166.95,390086178,44061567487.0,Q3,2021,-0.02,False,,270488000.0,74.9,-5484000.0
EXPE,2021-11-05,13.8,179.28,157.55,287572943,27983288947.0,Q3,2021,2.26,True,244.9,2962000000.0,96.9,378000000.0
GT,2021-11-05,11.9,24.0,21.45,77526594,1940754965.0,Q3,2021,0.46,True,4700.0,4934000000.0,42.4,134000000.0
LYV,2021-11-05,10.3,118.63,107.52,155799852,36152451930.0,Q3,2021,0.19,True,107.8,2698722000.0,1366.6,86867000.0
NWSA,2021-11-05,10.2,25.86,23.47,55948628,13096407056.0,Q1,2022,0.33,True,450.0,2502000000.0,18.2,267000000.0
PCTY,2021-11-05,7.6,313,291,70315303,5893571338.0,Q1,2022,0.55,True,150.0,181697000.0,33.8,30932000.0
SHAK,2021-11-05,9.6,85.55,78.08,74726166,3499201196.0,Q3,2021,-0.06,False,60.0,193895000.0,48.7,-2402000.0
COTY,2021-11-08,8.6,10.09,9.29,64552162,1953614117.0,Q1,2022,0.13,True,-45.8,1371700000.0,22.0,228900000.0
TTD,2021-11-08,23.0,84.3,68.55,265915214,13013212465.0,Q3,2021,0.12,True,-85.7,301091000.0,39.3,59384000.0
FIVN,2021-11-09,9.9,159.62,145.25,225707530,1205571917.0,Q3,2021,-0.3,False,-76.5,154328000.0,37.6,-20537000.0
RBLX,2021-11-09,29.4,99.6,77,493084937,39985195172.0,Q3,2021,-0.13,False,,509336000.0,,-77190000.0
DASH,2021-11-10,16.4,223.58,192.01,404273757,70099036159.0,Q3,2021,-0.3,False,,1275000000.0,,-101000000.0
PFGC,2021-11-10,7.7,49.95,46.37,54266886,13852987263.0,Q1,2022,0.03,True,400.0,10386300000.0,47.4,4700000.0
RNG,2021-11-10,28.4,300,233.64,217293393,3176261732.0,Q3,2021,-1.6,False,,414629000.0,36.6,-146751000.0
MQ,2021-11-11,17.5,29.5,25.11,187877276,1696031211.0,Q3,2021,,,,131512000.0,,-45730000.0
OPEN,2021-11-11,20.6,22.79,18.89,330857388,4743711131.0,Q3,2021,-0.09,False,,2266354000.0,,-56819000.0
AXON,2021-11-16,24.8,208.84,167.41,62381299,39891718382.0,Q3,2021,0.67,True,,231989000.0,,48524000.0
LCID,2021-11-16,11.2,499.3,448.8,3276834819,3244074006.0,Q3,2021,-0.43,False,,232000,,-524403000.0
INTU,2021-11-19,13.8,715.87,628.94,741587077,121670938000.0,Q1,2022,0.82,True,9.3,2007000000.0,51.7,228000000.0
FIVE,2021-12-02,8.9,206.01,189.19,105961762,11602844401.0,Q3,2022,0.43,True,19.4,607645000.0,27.5,24177000.0
OKTA,2021-12-02,8.9,215.75,198.08,343184518,14002448697.0,Q3,2022,-1.44,False,,350680000.0,61.3,-221311000.0
MRVL,2021-12-03,20.9,85.89,71.03,488567024,76741299779.0,Q3,2022,-0.08,False,-166.7,1211245000.0,61.5,-62532000.0
PD,2021-12-08,9.3,36.62,33.49,40982321,648862004.0,Q3,2022,-0.31,False,,71760000.0,33.5,-26341000.0
RH,2021-12-09,8.3,625,576.96,259394608,2410493221.0,Q3,2022,5.88,True,258.5,1006428000.0,19.2,184099000.0
ORCL,2021-12-10,17.5,104.29,88.77,776259551,445800255010.0,Q2,2022,-0.46,False,-157.5,10360000000.0,5.7,-1247000000.0
ACN,2021-12-16,10.1,413.07,375.3,927563999,121025324017.0,Q1,2022,2.78,True,19.8,14965153000.0,27.2,1791024000.0
LW,2022-01-06,9.5,69.1,63.12,82309266,5631579296.0,Q2,2022,0.22,True,-66.7,1006600000.0,12.3,32500000.0
STX,2022-01-27,11.4,107.29,96.31,205745610,85960777025.0,Q2,2022,2.23,True,99.1,3116000000.0,18.8,501000000.0
WOLF,2022-01-27,9.1,98,89.79,170771601,752980923.0,Q2,2022,-0.82,False,,173100000.0,,-96700000.0
CPRI,2022-02-02,8.4,66.66,61.49,106817990,2214027452.0,Q3,2022,2.11,True,78.8,1609000000.0,23.6,323000000.0
EAT,2022-02-02,12.3,39,34.73,40180068,6272118239.0,Q2,2022,0.6,True,130.8,925800000.0,21.7,27600000.0
BILL,2022-02-04,18.7,202.14,170.28,507246628,3937635908.0,Q2,2022,,,,156478000.0,189.5,-80440000.0
TSN,2022-02-07,10.3,97.4,88.29,196523505,21237403229.0,Q1,2022,3.07,True,139.8,12933000000.0,23.6,1126000000.0
DOCS,2022-02-09,13.0,56.29,49.81,78514262,4501357306.0,Q3,2022,0.26,True,,97876000.0,,55647000.0
PFGC,2022-02-09,12.7,51.36,45.56,64738116,13852987263.0,Q2,2022,0.05,True,-61.5,12838800000.0,87.6,8400000.0
AI,2022-03-03,11.8,25.34,22.66,71341760,1254111734.0,Q3,2022,,,,69773000.0,42.1,-39447000.0
AAL,2022-04-21,9.1,21.25,19.48,669944846,6801137102.0,Q1,2022,-2.52,False,-27.9,8899000000.0,122.0,-1635000000.0
UAL,2022-04-21,8.4,50.44,46.52,545598846,28009074285.0,Q1,2022,-4.24,False,0.5,7566000000.0,134.9,-1377000000.0
KMB,2022-04-22,8.3,138.72,128.1,209723607,32807207150.0,Q1,2022,1.55,True,-9.9,5095000000.0,7.4,535000000.0
SHW,2022-04-26,8.4,268.78,248.02,362203366,79233414991.0,Q1,2022,1.41,True,-6.6,4998700000.0,7.4,370800000.0
ENPH,2022-04-27,10.2,169.5,153.83,465490304,5777524953.0,Q1,2022,,,,441292000.0,46.2,51821000.0
NOW,2022-04-28,8.9,101.6,93.26,808344273,118846520000.0,Q1,2022,0.37,True,-9.8,1722000000.0,26.6,75000000.0
PINS,2022-04-28,8.2,20.2,18.67,268966773,11650107909.0,Q1,2022,-0.01,False,66.7,574885000.0,18.5,-5281000.0
AVTR,2022-04-29,12.2,33.43,29.79,208846290,5408703541.0,Q1,2022,0.28,True,12.0,1950400000.0,9.2,190400000.0
CSL,2022-04-29,7.6,269,249.93,90451112,13957752535.0,Q1,2022,3.66,True,277.3,1496300000.0,45.4,193600000.0
FIVN,2022-04-29,10.5,113.9,103.04,114719686,1205571917.0,Q1,2022,-0.49,False,-172.2,182777000.0,32.6,-34120000.0
MHK,2022-04-29,20.2,157.24,130.78,74577184,6302759713.0,Q1,2022,3.78,True,12.5,3015663000.0,13.0,245434000.0
OLN,2022-04-29,7.7,57.38,53.26,107233697,2810238039.0,Q1,2022,2.48,True,64.2,2461400000.0,28.3,393000000.0
ATKR,2022-05-03,10.6,106.56,96.33,41676620,1894413432.0,Q2,2022,5.08,True,96.9,982573000.0,53.6,233477000.0
CAR,2022-05-03,7.6,302,280.56,270675219,3550898843.0,Q1,2022,9.71,True,499.6,2432000000.0,77.3,527000000.0
CC,2022-05-03,8.2,35.83,33.1,47217479,2636998862.0,Q1,2022,1.43,True,150.9,1764000000.0,22.8,234000000.0
AMD,2022-05-04,7.7,98.18,91.13,8179614064,315305152928.0,,,,,,,,
LITE,2022-05-04,10.6,90.88,82.14,66386057,44446500000.0,Q3,2022,0.35,True,-87.7,395400000.0,-5.7,26000000.0
ALB,2022-05-05,10.5,238,215.47,198883215,18645787148.0,Q1,2022,2.15,True,156.0,1127728000.0,36.0,281547000.0
AMR,2022-05-05,7.7,175.51,162.98,87577496,2403233804.0,Q1,2022,20.52,True,1246.4,1071964000.0,177.5,400891000.0
BKNG,2022-05-05,9.3,2300,2103.33,911140224,134334895456.0,,,,,,,,
NVST,2022-05-05,7.7,44.81,41.59,73372761,4032973520.0,Q1,2022,0.42,True,20.0,631400000.0,3.1,74900000.0
RUN,2022-05-05,8.0,26.29,24.34,165841661,2846737772.0,Q1,2022,-0.42,False,-250.0,495784000.0,48.1,-156469000.0
OPEN,2022-05-06,11.3,7.7,6.92,117105604,4743711131.0,Q1,2022,0.04,True,108.3,5151000000.0,589.3,28000000.0
NCLH,2022-05-10,8.5,17.3,15.95,337618076,8596146246.0,Q1,2022,-2.35,False,43.5,521940000.0,16736.8,-982714000.0
NXST,2022-05-10,7.6,163.99,152.4,50366518,7084923379.0,Q1,2022,5.99,True,35.5,1210100000.0,8.6,251400000.0
RNG,2022-05-10,8.6,74.55,68.66,121373208,3176261732.0,Q1,2022,-1.6,False,,467656000.0,32.7,-150972000.0
TREX,2022-05-10,10.8,61.72,55.68,78583093,3892862814.0,Q1,2022,0.62,True,47.6,339228000.0,38.2,71211000.0
CELH,2022-05-11,11.0,15.28,13.77,42026873,11453420008.0,Q1,2022,0.09,True,800.0,133388000.0,166.6,6679000.0
CPNG,2022-05-12,13.7,10.99,9.67,136681831,33730134208.0,Q1,2022,-0.12,False,82.4,5116686000.0,21.6,-209294000.0
RIVN,2022-05-12,7.7,22.19,20.6,610961510,18441108265.0,Q1,2022,-1.77,False,,95000000.0,,-1593000000.0
AFRM,2022-05-13,37.6,24.83,18.04,285490881,15616227319.0,Q3,2022,-0.19,False,82.1,354762000.0,53.8,-54671000.0
DUOL,2022-05-13,19.2,79.85,66.98,40010040,4619439131.0,Q1,2022,-0.31,False,76.2,81220000.0,46.7,-12154000.0
TOST,2022-05-13,14.0,16.29,14.29,95641768,16256400000.0,Q1,2022,-0.2,False,,535000000.0,,-23000000.0
PANW,2022-05-20,11.8,81.34,72.73,942056457,136284240000.0,Q3,2022,-0.74,False,,1386700000.0,29.1,-73200000.0
DG,2022-05-26,15.1,224.78,195.34,500392183,29020471953.0,Q1,2023,2.41,True,-14.5,8751352000.0,4.2,552657000.0
DLTR,2022-05-26,19.6,159.81,133.59,416411793,21368763475.0,Q1,2023,2.37,True,48.1,6902600000.0,6.5,536400000.0
ULTA,2022-05-27,10.5,417.5,377.96,339969689,23765702784.0,Q1,2023,6.3,True,53.7,2345901000.0,21.0,331395000.0
CRM,2022-06-01,11.1,178.01,160.24,1321797343,177982090000.0,Q1,2023,0.03,True,-94.0,7411000000.0,24.3,28000000.0
CHWY,2022-06-02,15.3,27.09,23.49,143337615,10570013145.0,Q1,2023,0.04,True,-55.6,2428327000.0,13.7,18472000.0
OKTA,2022-06-03,14.2,107.02,93.68,313749251,14002448697.0,Q1,2023,-1.56,False,-88.0,414943000.0,65.3,-242713000.0
GTLB,2022-06-07,10.8,44.13,39.84,69228258,3858842920.0,Q1,2023,-0.18,False,,87407000.0,,-26613000.0
CMG,2022-07-27,8.9,28.68,26.33,301457456,42354795960.0,Q2,2022,9.25,True,40.2,2213339000.0,17.0,259942000.0
ENPH,2022-07-27,8.9,235.28,216.1,601252997,5777524953.0,Q2,2022,,,,530196000.0,67.8,76976000.0
ROK,2022-07-27,13.4,248.89,219.43,169383583,40553339734.0,Q3,2022,2.55,True,9.9,1968700000.0,6.5,294800000.0
HTZ,2022-07-28,8.2,18.85,17.42,72176236,1215083037.0,Q2,2022,1.13,True,,2344000000.0,,940000000.0
WING,2022-07-28,12.4,112.04,99.68,79440595,5591460921.0,Q2,2022,0.44,True,15.8,83777000.0,13.2,13307000.0
AMZN,2022-07-29,10.3,134.9,122.28,7413827817,2229321017073.0,Q2,2022,-0.2,False,-101.3,121234000000.0,7.2,-2028000000.0
FIVN,2022-07-29,9.1,107.37,98.38,75395882,1205571917.0,Q2,2022,-0.34,False,-36.0,189382000.0,31.7,-23670000.0
AME,2022-08-02,7.8,131.93,122.38,107151554,49113320057.0,Q2,2022,1.22,True,22.0,1514552000.0,9.2,282373000.0
PINS,2022-08-02,18.2,23.62,19.99,334750429,11650107909.0,Q2,2022,-0.07,False,-170.0,665930000.0,8.6,-43076000.0
PYPL,2022-08-03,12.8,101.14,89.63,1080721421,41337837936.0,Q2,2022,-0.29,False,-129.0,6806000000.0,9.1,-341000000.0
UNM,2022-08-03,11.5,34.97,31.36,51387634,11816475507.0,Q2,2022,1.83,True,105.6,3040900000.0,1.6,370400000.0
MELI,2022-08-04,11.6,994.5,890.87,430802088,84664293940.0,Q2,2022,2.43,True,77.4,2597000000.0,52.5,123000000.0
DKNG,2022-08-05,8.8,17.8,16.36,239169558,12753687130.0,Q2,2022,-0.5,False,34.2,466185000.0,56.6,-217103000.0
NET,2022-08-05,17.4,68.58,58.43,246056031,74778214310.0,Q2,2022,-0.2,False,-66.7,234517000.0,53.9,-63537000.0
ARRY,2022-08-10,14.8,21,18.29,64750898,1059243515.0,Q2,2022,-0.11,False,-175.0,419865000.0,113.7,-5024000.0
TTD,2022-08-10,25.0,68.14,54.5,318373239,13013212465.0,Q2,2022,-0.04,False,-140.0,376962000.0,34.6,-19073000.0
DIS,2022-08-11,8.7,122.21,112.43,1125034936,175894206006.0,Q3,2022,0.77,True,54.0,21504000000.0,26.3,1502000000.0
TOST,2022-08-12,19.6,21.71,18.15,77621662,16256400000.0,Q2,2022,-0.11,False,,675000000.0,,-54000000.0
WDAY,2022-08-26,8.4,176,162.36,408929142,35002670000.0,Q2,2023,-0.25,False,-161.0,1535798000.0,21.9,-64158000.0
LULU,2022-09-02,10.8,326.4,294.45,337008730,18508540996.0,Q2,2023,2.26,True,42.1,1868328000.0,28.8,289521000.0
ASO,2022-09-07,8.3,45.42,41.93,63292837,3756824442.0,Q2,2023,2.22,True,11.6,1686915000.0,-5.8,188801000.0
ASAN,2022-09-08,18.4,22.55,19.04,64738724,1662071007.0,Q2,2023,-0.59,False,-47.5,134896000.0,50.8,-112969000.0
DOCU,2022-09-09,13.6,65.81,57.95,226556882,9422832417.0,Q2,2023,-0.22,False,-69.2,622184000.0,21.6,-45078000.0
ENPH,2022-10-26,9.5,290.92,265.59,1046171569,5777524953.0,Q3,2022,,,,634713000.0,80.6,114812000.0
WING,2022-10-26,14.9,155,134.85,107638019,5591460921.0,Q3,2022,0.45,True,18.4,92672000.0,40.9,13368000.0
ALLE,2022-10-27,8.0,105.07,97.33,70073139,12521246099.0,Q3,2022,1.3,True,-18.2,913700000.0,27.4,114600000.0
NOW,2022-10-27,16.5,85.39,73.28,757934933,118846520000.0,Q3,2022,0.39,True,25.8,1831000000.0,21.1,80000000.0
PINS,2022-10-28,11.6,24.43,21.89,322325638,11650107909.0,Q3,2022,-0.1,False,-171.4,684550000.0,8.2,-65181000.0
LSCC,2022-11-01,8.1,52.43,48.51,65628269,11732152631.0,Q3,2022,0.33,True,266.7,172509000.0,67.4,46359000.0
SCI,2022-11-02,8.5,66.34,61.15,66532192,11069673604.0,Q3,2022,0.76,True,-38.2,977720000.0,-5.5,120905000.0
BALL,2022-11-03,9.4,52.36,47.85,104187446,16547339513.0,Q3,2022,1.24,True,,3951000000.0,,394000000.0
BTU,2022-11-03,9.4,25.41,23.22,123435989,4217346321.0,Q3,2022,2.33,True,713.2,1342500000.0,97.7,383600000.0
CFLT,2022-11-03,7.6,24.11,22.4,56855501,11018764772.0,Q3,2022,-0.41,False,,151732000.0,47.9,-116049000.0
HUBS,2022-11-03,8.7,286.37,263.58,189644412,13939323665.0,Q3,2022,-0.65,False,,443958000.0,30.9,-31411000.0
BE,2022-11-04,12.2,19.33,17.23,50936063,43347504700.0,Q3,2022,-0.31,False,-3.3,292274000.0,41.0,-60392000.0
COIN,2022-11-04,8.2,60.4,55.8,756876687,51634617795.0,Q3,2022,-2.43,False,-250.0,590339000.0,-55.0,-544635000.0
COLD,2022-11-04,7.6,25.82,23.99,45512999,3170710816.0,Q3,2022,-0.03,False,-250.0,757780000.0,6.9,-8937000.0
DASH,2022-11-04,13.9,54.22,47.61,288012264,70099036159.0,Q3,2022,-0.77,False,-156.7,1701000000.0,33.4,-296000000.0
EXAS,2022-11-04,13.4,36.69,32.34,76106090,19770292013.0,Q3,2022,-0.84,False,13.4,523073000.0,14.6,-148761000.0
MCHP,2022-11-04,11.7,66.44,59.46,338160417,33517930269.0,Q2,2023,0.98,True,127.9,2073200000.0,25.7,546200000.0
MELI,2022-11-04,8.8,947.1,870.88,578501378,84664293940.0,Q3,2022,2.56,True,33.3,2690000000.0,44.8,129000000.0
MP,2022-11-04,9.3,31.75,29.06,49174197,10164354814.0,Q3,2022,0.33,True,43.5,124445000.0,24.8,63177000.0
MTZ,2022-11-04,9.4,80.88,73.96,58663952,22879500700.0,Q3,2022,0.65,True,-56.7,2513484000.0,4.5,49222000.0
SEDG,2022-11-08,13.8,240.56,211.3,252622536,2260113935.0,Q3,2022,0.43,True,-55.2,836723000.0,59.0,24743000.0
ARRY,2022-11-09,20.7,20.5,16.98,49585637,1059243515.0,Q3,2022,0.19,True,176.0,515024000.0,173.0,40644000.0
AXON,2022-11-09,8.0,162,150,72594761,39891718382.0,Q3,2022,0.17,True,-74.6,311754000.0,34.4,12131000.0
COHR,2022-11-09,16.7,34.96,29.95,44456518,45513094392.0,,,,,,,,
APP,2022-11-10,13.9,15.65,13.74,42039197,154699300260.0,Q3,2022,0.06,True,,713099000.0,-1.9,23662000.0
CELH,2022-11-10,17.0,30.67,26.22,80035082,11453420008.0,Q3,2022,-2.46,False,-8300.0,188233000.0,98.3,-181896000.0
CPNG,2022-11-10,16.6,19,16.29,109647496,33730134208.0,Q3,2022,0.05,True,126.3,5101334000.0,9.8,90679000.0
MQ,2022-11-10,18.3,7.38,6.24,42970483,1696031211.0,Q3,2022,,,,191621000.0,45.7,-53168000.0
NTRA,2022-11-10,8.0,40.04,37.07,49017560,26624215312.0,Q3,2022,-1.25,False,,210637000.0,33.2,-121480000.0
RIVN,2022-11-10,17.1,32.88,28.07,421434316,18441108265.0,Q3,2022,-1.88,False,,536000000.0,,-1724000000.0
RNG,2022-11-10,18.6,33.64,28.36,66916883,3176261732.0,Q3,2022,-2.98,False,-86.2,509032000.0,22.8,-284616000.0
U,2022-11-10,13.9,24.5,21.5,275183831,8412949282.0,Q3,2022,-0.84,False,-104.9,322881000.0,12.8,-250021000.0
UPST,2022-11-10,8.6,18.52,17.06,148749701,2500720006.0,Q3,2022,-0.69,False,-330.0,157233000.0,-31.2,-56223000.0
DOCS,2022-11-11,17.0,30.82,26.33,54304942,4501357306.0,Q2,2023,0.12,True,-29.4,102185000.0,28.8,26299000.0
PANW,2022-11-18,9.4,85.64,78.28,801495227,136284240000.0,Q1,2023,0.06,True,,1563400000.0,25.3,20000000.0
BURL,2022-11-22,13.2,178.5,157.64,234948051,18670442680.0,Q3,2023,0.26,True,30.0,2040687000.0,-11.4,16783000.0
WDAY,2022-11-30,10.2,157.89,143.3,344907132,35002670000.0,Q3,2023,-0.29,False,-270.6,1599103000.0,20.5,-74721000.0
FIVE,2022-12-01,9.3,175.8,160.86,130132859,11602844401.0,Q3,2023,0.29,True,-32.6,645034000.0,6.2,16146000.0
OKTA,2022-12-01,16.2,61.95,53.32,239227445,14002448697.0,Q3,2023,-1.32,False,8.3,481042000.0,37.2,-208897000.0
GTLB,2022-12-06,14.4,43.85,38.33,74303552,3858842920.0,Q3,2023,-0.33,False,46.8,112981000.0,69.1,-50465000.0
SIG,2022-12-06,10.7,64,57.83,43986593,3344667977.0,Q3,2023,0.6,True,-58.6,1582700000.0,2.9,37500000.0
DOCU,2022-12-09,8.6,47.53,43.75,217887211,9422832417.0,Q3,2023,-0.15,False,-400.0,645463000.0,18.3,-29866000.0
LW,2023-01-05,8.4,94.87,87.48,118568086,5631579296.0,Q2,2023,0.71,True,222.7,1276500000.0,26.8,103100000.0
STX,2023-01-26,10.5,68.79,62.25,145262394,85960777025.0,Q2,2023,-0.16,False,-107.2,1887000000.0,-39.4,-33000000.0
DT,2023-02-01,12.4,43.21,38.43,70924596,11449860266.0,Q3,2023,0.05,True,0.0,297456000.0,23.5,15026000.0
ELF,2023-02-02,18.4,69.26,58.51,52847729,4335024865.0,Q3,2023,0.34,True,183.3,146537000.0,49.3,19105000.0
CLX,2023-02-03,8.5,153,141,173302498,13382524997.0,Q2,2023,0.8,True,42.9,1715000000.0,1.4,102000000.0
PANW,2023-02-22,9.3,91.19,83.44,705096687,136284240000.0,Q2,2023,0.25,True,,1655100000.0,25.7,84200000.0
AI,2023-03-03,18.7,25.29,21.31,752471957,1254111734.0,Q3,2023,-0.57,False,,66669000.0,-4.4,-63162000.0
ESTC,2023-03-03,8.3,63.27,58.41,64881427,5329266902.0,Q3,2023,-0.76,False,,274566000.0,22.6,-72574000.0
